group,case_count,patient_ids,mean_present_hpo_count,mean_absent_hpo_count,mean_total_ic,mean_mean_ic,mean_anchor_count,mean_acute_neonatal_count,cardiac_case_rate,facial_case_rate,digital_or_limb_case_rate,developmental_neuro_case_rate,pcf_hit_rate,gm_hit_rate
A_zebraseek_final_correct,10,11701;11703;11704;11705;11707;11709;11711;11712;11713;11719,19.9,1.1,107.67,5.391,3.5,1.4,0.9,1,0.6,1,0.2,0.9
B_initial_pcf_or_gm_correct_final_wrong,3,11700;11708;11714,18,1,97.66,5.305,3.67,2.33,0.667,1,1,1,0.333,0.667
C_no_major_tool_correct,6,11702;11706;11710;11715;11718;11721,26.67,0.83,142.0,5.276,3.83,2,1,1,0.833,1,0,0
